model,accuracy,f1_macro,precision_macro,recall_macro,train_seconds,predict_seconds
logistic_regression,0.9991666666666666,0.9992047166572503,0.9992123983739838,0.9992099294033692,0.7733541280031204,0.020689227618277073
knn,0.9991666666666666,0.9992047166572503,0.9992123983739838,0.9992099294033692,0.11156676104292274,0.30254873679950833
random_forest,0.9991666666666666,0.9992047166572503,0.9992123983739838,0.9992099294033692,1.4858878292143345,0.10262270225211978
extra_trees,0.9991666666666666,0.9992047166572503,0.9992123983739838,0.9992099294033692,0.659591865260154,0.1260449136607349
gradient_boosting,0.99625,0.996205305473281,0.9962332939837578,0.9962484264690633,73.99127770634368,0.1607170649804175
decision_tree,0.9629166666666666,0.9635801520730983,0.9646846670650719,0.9633255270688302,0.20830075815320015,0.00672132009640336
gaussian_nb,0.8554166666666667,0.8553896417435671,0.8630275392785698,0.8544762343029535,0.18124688602983952,0.05291565088555217
adaboost,0.26458333333333334,0.2711742941633655,0.31167862176011785,0.27900620449977087,1.2878091190941632,0.08751806011423469
